loading raw_datasets successfully

Processing train split with 836 samples:
Finished processing train split.

Processing test split with 29 samples:
Finished processing test split.

Processing validation split with 148 samples:
Finished processing validation split.
{'loss': 3.9304, 'grad_norm': 75.85023498535156, 'learning_rate': 4.999955240022902e-05, 'epoch': 0.1}
{'loss': 2.9046, 'grad_norm': 52.277923583984375, 'learning_rate': 4.999820961694372e-05, 'epoch': 0.19}
{'loss': 2.5641, 'grad_norm': 43.508365631103516, 'learning_rate': 4.999597169822646e-05, 'epoch': 0.29}
{'loss': 2.3156, 'grad_norm': 42.12747573852539, 'learning_rate': 4.9992838724212585e-05, 'epoch': 0.38}
{'loss': 2.0297, 'grad_norm': 38.42011642456055, 'learning_rate': 4.9988810807087584e-05, 'epoch': 0.48}
{'loss': 1.8275, 'grad_norm': 38.3658561706543, 'learning_rate': 4.998388809108303e-05, 'epoch': 0.57}
{'loss': 1.789, 'grad_norm': 43.81059646606445, 'learning_rate': 4.997807075247146e-05, 'epoch': 0.67}
{'loss': 1.6373, 'grad_norm': 41.2343864440918, 'learning_rate': 4.997135899956001e-05, 'epoch': 0.76}
{'loss': 1.5982, 'grad_norm': 80.6340560913086, 'learning_rate': 4.9963753072683025e-05, 'epoch': 0.86}
{'loss': 1.6683, 'grad_norm': 21.362680435180664, 'learning_rate': 4.9955253244193375e-05, 'epoch': 0.95}
{'eval_loss': 1.6064350605010986, 'eval_map': 0.1645, 'eval_map_50': 0.3501, 'eval_map_75': 0.136, 'eval_map_small': 0.25, 'eval_map_medium': 0.2441, 'eval_map_large': 0.1661, 'eval_mar_1': 0.2171, 'eval_mar_10': 0.4326, 'eval_mar_100': 0.4852, 'eval_mar_small': 0.25, 'eval_mar_medium': 0.4403, 'eval_mar_large': 0.4947, 'eval_map_Coverall': 0.4052, 'eval_mar_100_Coverall': 0.7135, 'eval_map_Face_Shield': 0.0835, 'eval_mar_100_Face_Shield': 0.3299, 'eval_map_Gloves': 0.107, 'eval_mar_100_Gloves': 0.4878, 'eval_map_Goggles': 0.0551, 'eval_mar_100_Goggles': 0.3426, 'eval_map_Mask': 0.1718, 'eval_mar_100_Mask': 0.5521, 'eval_runtime': 7.2121, 'eval_samples_per_second': 20.521, 'eval_steps_per_second': 2.634, 'epoch': 1.0}
{'loss': 1.3627, 'grad_norm': 36.562286376953125, 'learning_rate': 4.994585981845278e-05, 'epoch': 1.05}
{'loss': 1.5736, 'grad_norm': 80.84272003173828, 'learning_rate': 4.9935573131820854e-05, 'epoch': 1.14}
{'loss': 1.4831, 'grad_norm': 28.6479434967041, 'learning_rate': 4.9924393552643075e-05, 'epoch': 1.24}
{'loss': 1.3876, 'grad_norm': 29.28622817993164, 'learning_rate': 4.991232148123761e-05, 'epoch': 1.33}
{'loss': 1.3682, 'grad_norm': 57.57891845703125, 'learning_rate': 4.989935734988098e-05, 'epoch': 1.43}
{'loss': 1.2204, 'grad_norm': 35.33613586425781, 'learning_rate': 4.988550162279255e-05, 'epoch': 1.52}
{'loss': 1.3062, 'grad_norm': 70.44566345214844, 'learning_rate': 4.987075479611796e-05, 'epoch': 1.62}
{'loss': 1.1954, 'grad_norm': 79.87833404541016, 'learning_rate': 4.985511739791129e-05, 'epoch': 1.71}
{'loss': 1.2502, 'grad_norm': 88.28303527832031, 'learning_rate': 4.983858998811622e-05, 'epoch': 1.81}
{'loss': 1.2805, 'grad_norm': 42.8010368347168, 'learning_rate': 4.9821173158545936e-05, 'epoch': 1.9}
{'loss': 1.469, 'grad_norm': 29.080453872680664, 'learning_rate': 4.980286753286195e-05, 'epoch': 2.0}
{'eval_loss': 1.5747654438018799, 'eval_map': 0.2149, 'eval_map_50': 0.4031, 'eval_map_75': 0.2101, 'eval_map_small': 0.2752, 'eval_map_medium': 0.2516, 'eval_map_large': 0.2207, 'eval_mar_1': 0.2924, 'eval_mar_10': 0.5233, 'eval_mar_100': 0.5691, 'eval_mar_small': 0.275, 'eval_mar_medium': 0.4788, 'eval_mar_large': 0.5823, 'eval_map_Coverall': 0.3985, 'eval_mar_100_Coverall': 0.6944, 'eval_map_Face_Shield': 0.1585, 'eval_mar_100_Face_Shield': 0.5545, 'eval_map_Gloves': 0.1073, 'eval_mar_100_Gloves': 0.4756, 'eval_map_Goggles': 0.0908, 'eval_mar_100_Goggles': 0.5148, 'eval_map_Mask': 0.3196, 'eval_mar_100_Mask': 0.6064, 'eval_runtime': 7.2132, 'eval_samples_per_second': 20.518, 'eval_steps_per_second': 2.634, 'epoch': 2.0}
{'loss': 1.2937, 'grad_norm': 81.95435333251953, 'learning_rate': 4.978367376655177e-05, 'epoch': 2.1}
{'loss': 1.1969, 'grad_norm': 48.88718032836914, 'learning_rate': 4.976359254690543e-05, 'epoch': 2.19}
{'loss': 1.1058, 'grad_norm': 94.11833190917969, 'learning_rate': 4.974262459299087e-05, 'epoch': 2.29}
{'loss': 1.0968, 'grad_norm': 82.1751708984375, 'learning_rate': 4.972077065562821e-05, 'epoch': 2.38}
{'loss': 1.0202, 'grad_norm': 29.915027618408203, 'learning_rate': 4.969803151736284e-05, 'epoch': 2.48}
{'loss': 1.1078, 'grad_norm': 31.478805541992188, 'learning_rate': 4.9674407992437394e-05, 'epoch': 2.57}
{'loss': 1.0804, 'grad_norm': 17.58522605895996, 'learning_rate': 4.964990092676263e-05, 'epoch': 2.67}
{'loss': 1.0471, 'grad_norm': 15.691344261169434, 'learning_rate': 4.962451119788709e-05, 'epoch': 2.76}
{'loss': 1.0771, 'grad_norm': 25.0949764251709, 'learning_rate': 4.959823971496574e-05, 'epoch': 2.86}
{'loss': 1.0547, 'grad_norm': 48.956993103027344, 'learning_rate': 4.957108741872736e-05, 'epoch': 2.95}
{'eval_loss': 1.1491981744766235, 'eval_map': 0.3539, 'eval_map_50': 0.5923, 'eval_map_75': 0.349, 'eval_map_small': 0.4257, 'eval_map_medium': 0.3005, 'eval_map_large': 0.3734, 'eval_mar_1': 0.3532, 'eval_mar_10': 0.6609, 'eval_mar_100': 0.6998, 'eval_mar_small': 0.5, 'eval_mar_medium': 0.5436, 'eval_mar_large': 0.7201, 'eval_map_Coverall': 0.5853, 'eval_mar_100_Coverall': 0.754, 'eval_map_Face_Shield': 0.2594, 'eval_mar_100_Face_Shield': 0.6961, 'eval_map_Gloves': 0.2771, 'eval_mar_100_Gloves': 0.6846, 'eval_map_Goggles': 0.2016, 'eval_mar_100_Goggles': 0.6525, 'eval_map_Mask': 0.4462, 'eval_mar_100_Mask': 0.7119, 'eval_runtime': 7.2077, 'eval_samples_per_second': 20.534, 'eval_steps_per_second': 2.636, 'epoch': 3.0}
{'loss': 1.0258, 'grad_norm': 20.99871826171875, 'learning_rate': 4.954305528144085e-05, 'epoch': 3.05}
{'loss': 0.9735, 'grad_norm': 58.37270736694336, 'learning_rate': 4.9514144306880506e-05, 'epoch': 3.14}
{'loss': 1.0469, 'grad_norm': 21.091100692749023, 'learning_rate': 4.9484355530289944e-05, 'epoch': 3.24}
{'loss': 0.9879, 'grad_norm': 93.50027465820312, 'learning_rate': 4.9453690018345144e-05, 'epoch': 3.33}
{'loss': 0.974, 'grad_norm': 23.687772750854492, 'learning_rate': 4.9422148869116194e-05, 'epoch': 3.43}
{'loss': 0.9062, 'grad_norm': 59.616878509521484, 'learning_rate': 4.938973321202799e-05, 'epoch': 3.52}
{'loss': 0.9468, 'grad_norm': 30.57744026184082, 'learning_rate': 4.935644420781978e-05, 'epoch': 3.62}
{'loss': 0.9763, 'grad_norm': 18.527267456054688, 'learning_rate': 4.932228304850363e-05, 'epoch': 3.71}
{'loss': 1.0733, 'grad_norm': 23.96273422241211, 'learning_rate': 4.928725095732169e-05, 'epoch': 3.81}
{'loss': 0.918, 'grad_norm': 26.967788696289062, 'learning_rate': 4.925134918870245e-05, 'epoch': 3.9}
{'loss': 1.0637, 'grad_norm': 42.31509780883789, 'learning_rate': 4.9214579028215776e-05, 'epoch': 4.0}
{'eval_loss': 1.0713622570037842, 'eval_map': 0.4003, 'eval_map_50': 0.6264, 'eval_map_75': 0.4488, 'eval_map_small': 0.4527, 'eval_map_medium': 0.3214, 'eval_map_large': 0.4217, 'eval_mar_1': 0.3852, 'eval_mar_10': 0.6757, 'eval_mar_100': 0.706, 'eval_mar_small': 0.55, 'eval_mar_medium': 0.5813, 'eval_mar_large': 0.7223, 'eval_map_Coverall': 0.605, 'eval_mar_100_Coverall': 0.7679, 'eval_map_Face_Shield': 0.2577, 'eval_mar_100_Face_Shield': 0.6623, 'eval_map_Gloves': 0.3675, 'eval_mar_100_Gloves': 0.7104, 'eval_map_Goggles': 0.2535, 'eval_mar_100_Goggles': 0.6705, 'eval_map_Mask': 0.5177, 'eval_mar_100_Mask': 0.7187, 'eval_runtime': 7.4877, 'eval_samples_per_second': 19.766, 'eval_steps_per_second': 2.538, 'epoch': 4.0}
{'loss': 0.9128, 'grad_norm': 23.794273376464844, 'learning_rate': 4.917694179252692e-05, 'epoch': 4.1}
{'loss': 0.9881, 'grad_norm': 13.791879653930664, 'learning_rate': 4.91384388293493e-05, 'epoch': 4.19}
{'loss': 0.9341, 'grad_norm': 20.50568199157715, 'learning_rate': 4.909907151739633e-05, 'epoch': 4.29}
{'loss': 0.8927, 'grad_norm': 29.96833038330078, 'learning_rate': 4.9058841266332e-05, 'epoch': 4.38}
{'loss': 0.8925, 'grad_norm': 37.535823822021484, 'learning_rate': 4.90177495167204e-05, 'epoch': 4.48}
{'loss': 0.8565, 'grad_norm': 15.954155921936035, 'learning_rate': 4.897579773997415e-05, 'epoch': 4.57}
{'loss': 1.029, 'grad_norm': 34.117271423339844, 'learning_rate': 4.893298743830168e-05, 'epoch': 4.67}
{'loss': 0.8624, 'grad_norm': 17.516128540039062, 'learning_rate': 4.888932014465352e-05, 'epoch': 4.76}
{'loss': 0.8515, 'grad_norm': 19.17960548400879, 'learning_rate': 4.88447974226673e-05, 'epoch': 4.86}
{'loss': 0.9416, 'grad_norm': 42.8787956237793, 'learning_rate': 4.879942086661184e-05, 'epoch': 4.95}
