loading raw_datasets successfully

Processing train split with 836 samples:
Finished processing train split.

Processing test split with 29 samples:
Finished processing test split.

Processing validation split with 148 samples:
Finished processing validation split.
{'loss': 4.5143, 'grad_norm': 17.25575828552246, 'learning_rate': 0.0009999977619961364, 'epoch': 0.1}
{'loss': 3.3242, 'grad_norm': 25.21160125732422, 'learning_rate': 0.0009999910480045803, 'epoch': 0.19}
{'loss': 3.6755, 'grad_norm': 21.928085327148438, 'learning_rate': 0.0009999798580854356, 'epoch': 0.29}
{'loss': 3.2652, 'grad_norm': 14.305225372314453, 'learning_rate': 0.0009999641923388743, 'epoch': 0.38}
{'loss': 2.9554, 'grad_norm': 15.852505683898926, 'learning_rate': 0.0009999440509051367, 'epoch': 0.48}
{'loss': 3.5592, 'grad_norm': 29.79214859008789, 'learning_rate': 0.0009999194339645292, 'epoch': 0.57}
{'loss': 3.4391, 'grad_norm': 16.756837844848633, 'learning_rate': 0.0009998903417374227, 'epoch': 0.67}
{'loss': 3.2907, 'grad_norm': 31.864171981811523, 'learning_rate': 0.0009998567744842518, 'epoch': 0.76}
{'loss': 4.5342, 'grad_norm': 20.486434936523438, 'learning_rate': 0.0009998187325055106, 'epoch': 0.86}
{'loss': 4.9674, 'grad_norm': 14.641141891479492, 'learning_rate': 0.0009997762161417516, 'epoch': 0.95}
{'eval_loss': 6.341570854187012, 'eval_map': 0.0002, 'eval_map_50': 0.001, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.0002, 'eval_mar_1': 0.0051, 'eval_mar_10': 0.0053, 'eval_mar_100': 0.0054, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0, 'eval_mar_large': 0.0063, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0, 'eval_mar_100_Gloves': 0.0, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0009, 'eval_mar_100_Mask': 0.0269, 'eval_runtime': 7.7203, 'eval_samples_per_second': 19.17, 'eval_steps_per_second': 2.461, 'epoch': 1.0}
{'loss': 4.0177, 'grad_norm': 24.391605377197266, 'learning_rate': 0.000999729225773582, 'epoch': 1.05}
{'loss': 3.8925, 'grad_norm': 15.72121524810791, 'learning_rate': 0.0009996777618216607, 'epoch': 1.14}
{'loss': 3.5344, 'grad_norm': 23.974773406982422, 'learning_rate': 0.0009996218247466933, 'epoch': 1.24}
{'loss': 3.217, 'grad_norm': 18.865253448486328, 'learning_rate': 0.0009995614150494292, 'epoch': 1.33}
{'loss': 3.1813, 'grad_norm': 23.97294044494629, 'learning_rate': 0.0009994965332706573, 'epoch': 1.43}
{'loss': 3.2219, 'grad_norm': 36.05454635620117, 'learning_rate': 0.0009994271799912003, 'epoch': 1.52}
{'loss': 3.984, 'grad_norm': 44.82616424560547, 'learning_rate': 0.0009993533558319096, 'epoch': 1.62}
{'loss': 3.5516, 'grad_norm': 27.519216537475586, 'learning_rate': 0.0009992750614536605, 'epoch': 1.71}
{'loss': 3.2807, 'grad_norm': 13.634456634521484, 'learning_rate': 0.0009991922975573454, 'epoch': 1.81}
{'loss': 3.9706, 'grad_norm': 14.42992877960205, 'learning_rate': 0.0009991050648838675, 'epoch': 1.9}
{'loss': 3.8, 'grad_norm': 19.143321990966797, 'learning_rate': 0.0009990133642141358, 'epoch': 2.0}
